Date,Historical_Var,Historical_ES,Age_weighted_Var,Age_weighted_ES,Volatility_Var,Volatility_ES,Bootstrap_Var,Bootstrap_ES,portfolio
2023-05-05,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-9225.68408587645,-12557.673338919702,-8729.774365328138,-11490.505960682858,-874.8353618949877
2023-05-08,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-8384.136027420534,-11750.408590056817,-8747.130460532966,-11513.219133207234,-485.2432250423605
2023-05-09,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7660.2575327265595,-11078.770434842254,-8806.649523525495,-11539.769108463608,-2368.921297650495
2023-05-10,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7273.047287627312,-10108.416203604158,-8624.681621633814,-11414.015670763703,5415.265976434415
2023-05-11,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7541.136463245676,-10926.161880197467,-8699.441736056311,-11464.214925345152,525.7761359310485
2023-05-12,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6943.73346950871,-10009.60821922053,-8694.993112188746,-11459.799507981174,-2424.574738384161
2023-05-15,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6715.757983273547,-9647.062666674852,-8747.175445210443,-11500.166000951616,-757.9231206087084
2023-05-16,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6304.025440988161,-8946.10560525928,-8669.6130927697,-11454.138947937296,-2432.5620776492856
2023-05-17,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-7235.430406020684,-10108.416203604158,-8689.89962374696,-11440.72767958874,338.9079566541673
2023-05-18,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5853.265286552334,-8418.182150198256,-8726.342885079472,-11500.630591398638,-651.3273303248321
2023-05-19,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5600.92469855752,-8323.796311881755,-8757.942513794358,-11508.484927339283,-246.70630194966978
2023-05-22,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5382.283094567252,-7978.326192353638,-8725.240195148639,-11473.054975028164,-4029.334420663777
2023-05-23,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5965.309091075393,-8667.690007587731,-8767.990371357317,-11524.719733915019,-4047.5088646388813
2023-05-24,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6379.776382691071,-9005.907383613143,-8826.951138908358,-11556.81775999492,-1399.2329550258316
2023-05-25,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6100.4239491926855,-8720.84245858049,-8740.558327416122,-11491.317626027936,-2178.6429620496065
2023-05-26,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-6005.899155597719,-8667.690007587731,-8616.365714764765,-11396.65506983279,394.9275055463782
2023-05-30,-9593.846131946177,-12793.386681589007,-7809.341342880172,-10682.700951881108,-5693.075589013181,-8323.796311881755,-8688.898059183257,-11458.656393985673,2724.5450531366896
