Date,Normal_Var,Normal_ES,T_Var,T_ES,portfolio
2021-03-05,-7344.501891670794,-8457.060146058046,-7348.158678342075,-8457.835634725037,7259.2535718105655
2021-03-08,-7347.305147165488,-8459.961174713475,-7350.962255200249,-8460.736731531482,-1494.9193908492907
2021-03-09,-7348.143259758721,-8460.745472204198,-7351.800190912542,-8461.520991511361,-38.72276549602479
2021-03-10,-7345.681379100822,-8458.386488832766,-7349.338648460237,-8459.162079862626,2602.01181745796
2021-03-11,-7346.738426727659,-8459.490524125451,-7350.39585052741,-8460.266147907218,-789.3809553452185
2021-03-12,-7342.3052573445075,-8455.042599344295,-7345.962632645816,-8455.818212841079,2990.668620887919
2021-03-15,-7407.19577675355,-8527.420762946007,-7410.8777626470455,-8528.201595570139,-13600.466374587913
2021-03-16,-7405.697681173994,-8525.84811483352,-7409.3794220262,-8526.628895492155,168.30390485599577
2021-03-17,-7395.929305185425,-8515.023417140283,-7399.607574090778,-8515.803461508922,-2218.301437860988
2021-03-18,-7404.324541014172,-8523.345666972213,-7408.00257002717,-8524.12566046728,-5242.471485160444
2021-03-19,-7389.708199960713,-8507.245041528971,-7393.381350387486,-8508.02400043037,-194.01538402649535
2021-03-22,-7388.295514461696,-8505.454340938697,-7391.967422418206,-8506.233036351496,2645.068247589742
2021-03-23,-7389.349477604414,-8506.599401643009,-7393.021684982863,-8507.378160553719,-2055.519695505985
2021-03-24,-7392.328886702878,-8509.478438323864,-7396.000764174541,-8510.257127271792,-1766.3163174079089
2021-03-25,-7388.8030885410935,-8506.025991302264,-7392.475207105275,-8506.80473137828,2994.4826686818624
2021-03-26,-7389.198854306523,-8506.664071621037,-7392.871769316755,-8507.442980598042,2938.718007597258
2021-03-29,-7387.9987310281285,-8505.440537217,-7391.671569090037,-8506.219429875704,718.6333116141418
2021-03-30,-7385.750835468616,-8502.281808395683,-7389.420679779035,-8503.060066174487,-31.420358688359986
2021-03-31,-7386.135335023707,-8502.652387269422,-7389.8051335792525,-8503.430635345065,258.37786763276085
2021-04-01,-7386.702258402705,-8503.161479670895,-7390.371866877826,-8503.939687436497,253.95068282160824
2021-04-05,-7386.81820013237,-8503.06477183524,-7390.487109665127,-8503.842831377298,595.2292909956384
2021-04-06,-7387.158600879177,-8503.42671846843,-7390.827581229538,-8504.20479302866,-932.2923081353152
2021-04-07,-7388.892940628077,-8505.235773168328,-7392.5621665535655,-8506.013899807269,-1088.1703481910413
2021-04-08,-7388.598202142256,-8504.7318835321,-7392.266740624066,-8505.509864386004,1335.7249399258922
2021-04-09,-7388.106092476408,-8504.26105451837,-7391.774700904043,-8505.039050205569,999.9973271306307
2021-04-12,-7390.496142726868,-8506.855459852532,-7394.16542283434,-8507.633597981754,-2358.803692628847
2021-04-13,-7388.192802885062,-8504.478981985747,-7391.861842600488,-8505.257069135429,1014.6724639810817
2021-04-14,-7388.238706011276,-8504.377884829097,-7391.907262562182,-8505.155869514883,963.2469394225471
2021-04-15,-7388.764778832967,-8505.021750694079,-7392.4337225492445,-8505.799817485382,4500.948346796968
2021-04-16,-7387.848351942757,-8504.22897321724,-7391.517702073284,-8505.007126196137,2067.852373746689
2021-04-19,-7389.205526606442,-8505.566096909944,-7392.874810832893,-8506.344235912673,-535.9811649402358
2021-04-20,-7388.532943497525,-8504.466246355194,-7392.200823369736,-8505.244087538853,685.0097996869149
2021-04-21,-7388.110451763136,-8504.149205504687,-7391.778678234175,-8504.927120190985,1888.4973755081685
2021-04-22,-7393.032806721876,-8509.588920593325,-7396.702733666234,-8510.367195896171,-4257.077735716568
2021-04-23,-7391.143180341265,-8507.722302925284,-7394.813182911285,-8508.500594265939,1672.4040833070474
2021-04-26,-7394.654991374342,-8511.4669879307,-7398.325759360854,-8512.245441591956,-2114.7507640219883
2021-04-27,-7404.714336423188,-8522.53912086182,-7408.388433268405,-8523.318280468606,-4856.0330556905155
2021-04-28,-7398.9504015889715,-8516.249873730276,-7402.622771823469,-8517.028667177598,-737.9928055221427
2021-04-29,-7398.962117852416,-8515.966885209735,-7402.633519443229,-8516.745473238403,396.26275992764283
2021-04-30,-7398.467875865667,-8515.502953419322,-7402.139377080858,-8516.281562575165,1131.6703599369796
2021-05-03,-7392.9594512983585,-8509.955578111068,-7396.630824489196,-8510.734160117001,3502.3073770387355
2021-05-04,-7393.741037297243,-8511.047357225114,-7397.413430039231,-8511.826155445562,3362.2487244693066
